ekatte,t_v_m,name,oblast,obstina,kmetstvo,kind,category,altitude,document,tsb,abc
72970,с.,Тракия,SZR,SZR23,SZR23-00,3,7,3,1864,23,4755
72998,с.,Трапесковци,GAB,GAB05,GAB05-00,3,8,6,1864,07,4756
73002,с.,Трапище,RAZ,RAZ17,RAZ17-25,3,6,4,1864,16,4757
73016,с.,Трапоклово,SLV,SLV20,SLV20-42,3,6,3,1864,19,4758
73033,с.,Требище,SML,SML31,SML31-00,3,7,8,1864,20,4759
73047,с.,Трекляно,KNL,KNL50,KNL50-00,3,5,7,1864,09,4760
73050,с.,Трем,SHU,SHU11,SHU11-19,3,7,5,1864,27,4761
73078,с.,Трескавец,TGV,TGV02,TGV02-13,3,6,5,1864,25,4762
73119,с.,Три кладенци,VRC,VRC10,VRC10-19,3,6,3,1864,06,4763
73136,с.,Три могили,KRZ,KRZ16,KRZ16-46,3,7,5,1864,08,4764
73147,с.,Три могили,PDV,PDV01,PDV01-00,3,8,8,1864,15,4765
73081,с.,Триводици,PDV,PDV41,PDV41-04,3,5,4,1864,15,4766
73095,с.,Тригорци,DOB,DOB03,DOB03-00,3,7,3,1864,24,4767
73105,с.,Триград,SML,SML09,SML09-13,3,6,8,1864,20,4768
73122,с.,Трилистник,PDV,PDV17,PDV17-16,3,5,3,1864,15,4769
73167,с.,Трифоново,MON,MON29,MON29-00,3,7,3,1864,11,4770
73170,с.,Троица,SHU,SHU23,SHU23-10,3,6,3,1864,27,4771
73184,с.,Тросково,BLG,BLG44,BLG44-00,3,8,7,1864,01,4772
73198,гр.,Троян,LOV,LOV34,LOV34-00,1,2,5,1864,10,4773
73208,с.,Троян,HKV,HKV29,HKV29-00,3,7,3,1864,26,4774
73211,с.,Трояново,BGS,BGS08,BGS08-10,3,5,3,1864,02,4775
73225,с.,Трояново,SZR,SZR27,SZR27-21,3,5,3,1864,23,4776
73242,с.,Труд,PDV,PDV17,PDV17-17,3,4,3,1864,15,4777
73256,с.,Трудовец,SFO,SFO07,SFO07-12,3,4,5,1864,22,4778
73262,с.,Тръбач,RAZ,RAZ17,RAZ17-00,3,7,4,1864,16,4779
73273,гр.,Трън,PER,PER51,PER51-00,1,4,7,1864,13,4780
73287,с.,Трънак,BGS,BGS18,BGS18-33,3,5,3,1864,02,4781
73290,с.,Трънито,GAB,GAB05,GAB05-00,3,7,6,1864,07,4782
73300,с.,Тръница,SHU,SHU22,SHU22-00,3,7,4,1864,27,4783
73314,с.,Трънково,SZR,SZR27,SZR27-22,3,7,3,1864,23,4784
73328,с.,Трънково,JAM,JAM07,JAM07-00,3,7,3,1864,28,4785
73331,с.,Трънковци,VTR,VTR13,VTR13-00,3,8,5,1864,04,4786
73345,с.,Трънчовица,PVN,PVN16,PVN16-12,3,6,2,1864,14,4787
73359,гр.,Тръстеник,PVN,PVN10,PVN10-15,1,5,3,1871,14,4788
73362,с.,Тръстеник,RSE,RSE13,RSE13-08,3,5,3,1864,17,4789
73376,с.,Тръстика,TGV,TGV24,TGV24-00,3,7,5,1864,25,4790
73388,с.,Тръстиково,BGS,BGS08,BGS08-00,3,6,1,1864,02,4791
73393,с.,Тръстиково,VAR,VAR01,VAR01-14,3,6,1,1864,03,4792
73403,гр.,Трявна,GAB,GAB35,GAB35-00,1,3,5,1864,07,4793
73417,с.,Туден,SFO,SFO09,SFO09-00,3,8,6,1864,22,4794
73420,с.,Тулово,SZR,SZR22,SZR22-16,3,5,5,1864,23,4795
73434,с.,Тумбалово,GAB,GAB29,GAB29-00,3,8,5,1864,07,4796
73448,с.,Тумбевци,VTR,VTR13,VTR13-00,3,8,5,1864,04,4797
73451,с.,Турия,SZR,SZR24,SZR24-00,3,7,5,1864,23,4798
73465,с.,Туркинча,GAB,GAB12,GAB12-00,3,8,5,1864,07,4799
73479,с.,Туроковци,PER,PER51,PER51-00,3,7,7,1864,13,4800
73482,с.,Турян,SML,SML31,SML31-00,3,8,8,1864,20,4801
73496,гр.,Тутракан,SLS,SLS34,SLS34-00,1,3,2,1864,18,4802
73506,с.,Тутраканци,VAR,VAR24,VAR24-00,3,7,1,1864,03,4803
73519,с.,Туховища,BLG,BLG42,BLG42-12,3,6,7,1864,01,4804
73523,с.,Тученица,PVN,PVN24,PVN24-00,3,6,4,1864,14,4805
73537,с.,Тушовица,SHU,SHU10,SHU10-14,3,6,4,1864,27,4806
73540,с.,Тъжа,SZR,SZR24,SZR24-11,3,5,5,1864,23,4807
73554,с.,Тъкач,SHU,SHU18,SHU18-13,3,6,5,1864,27,4808
73883,с.,Тънка бара,SML,SML18,SML18-00,3,8,7,1864,20,4809
73568,с.,Тънки рът,VTR,VTR13,VTR13-00,3,8,6,1864,04,4810
73571,с.,Тънково,BGS,BGS15,BGS15-09,3,5,1,1864,02,4811
73585,с.,Тънково,HKV,HKV30,HKV30-00,3,7,3,1864,26,4812
73599,с.,Тънкото,SML,SML16,SML16-00,3,8,7,1864,20,4813
73609,с.,Тъпчилещово,TGV,TGV22,TGV22-00,3,8,5,1864,25,4814
73612,с.,Търговище,VID,VID37,VID37-00,3,7,5,1864,05,4815
73626,гр.,Търговище,TGV,TGV35,TGV35-00,1,2,3,1864,25,4816
73634,с.,Търкашени,VTR,VTR13,VTR13-00,3,8,5,1864,04,4817
73897,с.,Търна,KRZ,KRZ02,KRZ02-08,3,8,6,1864,08,4818
73643,с.,Търнава,VRC,VRC08,VRC08-14,3,5,2,1864,06,4819
73657,с.,Търнава,JAM,JAM25,JAM25-00,3,7,4,1864,28,4820
73660,с.,Търнак,VRC,VRC08,VRC08-15,3,5,3,1864,06,4821
73674,с.,Търнене,PVN,PVN24,PVN24-23,3,6,2,1864,14,4822
73688,с.,Търничени,SZR,SZR24,SZR24-12,3,6,5,1864,23,4823
73691,с.,Търновлаг,KNL,KNL29,KNL29-00,3,7,5,1864,09,4824
73701,с.,Търновца,TGV,TGV35,TGV35-38,3,7,5,1864,25,4825
73715,с.,Търновци,KRZ,KRZ08,KRZ08-18,3,8,5,1864,08,4826
73729,с.,Търновци,SLS,SLS34,SLS34-10,3,7,3,1864,18,4827
